YEAR,MONTH_NUM,STATE_NAME,TOTAL_FLIGHTS,TOTAL_CO2_EMISSIONS,CO2_PER_FLIGHT
2016,12,TÜRKIYE,71405.0,946676.704,13.257848946152231
2016,12,UNITED KINGDOM,152658.0,2800984.683,18.34810283771568
2017,1,ALBANIA,1809.0,8982.333,4.965358208955224
2017,1,ARMENIA,1550.0,16297.374,10.514434838709677
2017,1,AUSTRIA,24699.0,183550.212,7.431483541843799
2017,1,BELGIUM,24384.0,308095.362,12.63514443897638
2017,1,BOSNIA AND HERZEGOVINA,700.0,4171.743,5.959632857142858
2017,1,BULGARIA,4538.0,42245.203,9.30921176729837
2017,1,CROATIA,2811.0,14299.288,5.086904304517965
2017,1,CYPRUS,3693.0,42888.334,11.613412943406445
2017,1,DENMARK,19124.0,218461.56,11.423423969880778
2017,1,FINLAND,13753.0,182992.892,13.30567090816549
2017,1,FRANCE,129005.0,1559692.251,12.090168993449867
2017,1,GEORGIA,1963.0,21681.099,11.044879775853286
2017,1,GERMANY,147333.0,2208877.381,14.992414333516592
2017,1,GREECE,19372.0,113374.727,5.852505007226926
2017,1,HUNGARY,7147.0,56456.327,7.899304183573527
2017,1,IRELAND,19946.0,182259.62,9.137652662187907
2017,1,ITALY,79890.0,899437.176,11.258445061960195
2017,1,LATVIA,5120.0,25581.374,4.996362109375
2017,1,LITHUANIA,4126.0,22688.969,5.49902302472128
2017,1,LUXEMBOURG,4921.0,109732.316,22.298783986994515
2017,1,MALTA,3083.0,27700.551,8.984933830684398
